,total_bill,tip,sex,smoker,day,time,size,New_index
0,16.99,1.01,Female,No,Sun,Dinner,2,1001
1,10.34,1.66,Male,No,Sun,Dinner,3,1002
2,21.01,3.5,Male,No,Sun,Dinner,3,1003
3,23.68,3.31,Male,No,Sun,Dinner,2,1004
4,24.59,3.61,Female,No,Sun,Dinner,4,1005
5,25.29,4.71,Male,No,Sun,Dinner,4,1006
6,8.77,2.0,Male,No,Sun,Dinner,2,1007
7,26.88,3.12,Male,No,Sun,Dinner,4,1008
8,15.04,1.96,Male,No,Sun,Dinner,2,1009
9,14.78,3.23,Male,No,Sun,Dinner,2,1010
10,10.27,1.71,Male,No,Sun,Dinner,2,1011
11,35.26,5.0,Female,No,Sun,Dinner,4,1012
12,15.42,1.57,Male,No,Sun,Dinner,2,1013
13,18.43,3.0,Male,No,Sun,Dinner,4,1014
14,14.83,3.02,Female,No,Sun,Dinner,2,1015
15,21.58,3.92,Male,No,Sun,Dinner,2,1016
16,10.33,1.67,Female,No,Sun,Dinner,3,1017
17,16.29,3.71,Male,No,Sun,Dinner,3,1018
18,16.97,3.5,Female,No,Sun,Dinner,3,1019
19,20.65,3.35,Male,No,Sat,Dinner,3,1020
20,17.92,4.08,Male,No,Sat,Dinner,2,1021
21,20.29,2.75,Female,No,Sat,Dinner,2,1022
22,15.77,2.23,Female,No,Sat,Dinner,2,1023
23,39.42,7.58,Male,No,Sat,Dinner,4,1024
24,19.82,3.18,Male,No,Sat,Dinner,2,1025
25,17.81,2.34,Male,No,Sat,Dinner,4,1026
26,13.37,2.0,Male,No,Sat,Dinner,2,1027
27,12.69,2.0,Male,No,Sat,Dinner,2,1028
28,21.7,4.3,Male,No,Sat,Dinner,2,1029
29,19.65,3.0,Female,No,Sat,Dinner,2,1030
30,9.55,1.45,Male,No,Sat,Dinner,2,1031
31,18.35,2.5,Male,No,Sat,Dinner,4,1032
32,15.06,3.0,Female,No,Sat,Dinner,2,1033
33,20.69,2.45,Female,No,Sat,Dinner,4,1034
34,17.78,3.27,Male,No,Sat,Dinner,2,1035
35,24.06,3.6,Male,No,Sat,Dinner,3,1036
36,16.31,2.0,Male,No,Sat,Dinner,3,1037
37,16.93,3.07,Female,No,Sat,Dinner,3,1038
38,18.69,2.31,Male,No,Sat,Dinner,3,1039
39,31.27,5.0,Male,No,Sat,Dinner,3,1040
40,16.04,2.24,Male,No,Sat,Dinner,3,1041
41,17.46,2.54,Male,No,Sun,Dinner,2,1042
42,13.94,3.06,Male,No,Sun,Dinner,2,1043
43,9.68,1.32,Male,No,Sun,Dinner,2,1044
44,30.4,5.6,Male,No,Sun,Dinner,4,1045
45,18.29,3.0,Male,No,Sun,Dinner,2,1046
46,22.23,5.0,Male,No,Sun,Dinner,2,1047
47,32.4,6.0,Male,No,Sun,Dinner,4,1048
48,28.55,2.05,Male,No,Sun,Dinner,3,1049
49,18.04,3.0,Male,No,Sun,Dinner,2,1050
50,12.54,2.5,Male,No,Sun,Dinner,2,1051
51,10.29,2.6,Female,No,Sun,Dinner,2,1052
52,34.81,5.2,Female,No,Sun,Dinner,4,1053
53,9.94,1.56,Male,No,Sun,Dinner,2,1054
54,25.56,4.34,Male,No,Sun,Dinner,4,1055
55,19.49,3.51,Male,No,Sun,Dinner,2,1056
56,38.01,3.0,Male,Yes,Sat,Dinner,4,1057
57,26.41,1.5,Female,No,Sat,Dinner,2,1058
58,11.24,1.76,Male,Yes,Sat,Dinner,2,1059
59,48.27,6.73,Male,No,Sat,Dinner,4,1060
60,20.29,3.21,Male,Yes,Sat,Dinner,2,1061
61,13.81,2.0,Male,Yes,Sat,Dinner,2,1062
62,11.02,1.98,Male,Yes,Sat,Dinner,2,1063
63,18.29,3.76,Male,Yes,Sat,Dinner,4,1064
64,17.59,2.64,Male,No,Sat,Dinner,3,1065
65,20.08,3.15,Male,No,Sat,Dinner,3,1066
66,16.45,2.47,Female,No,Sat,Dinner,2,1067
67,3.07,1.0,Female,Yes,Sat,Dinner,1,1068
68,20.23,2.01,Male,No,Sat,Dinner,2,1069
69,15.01,2.09,Male,Yes,Sat,Dinner,2,1070
70,12.02,1.97,Male,No,Sat,Dinner,2,1071
71,17.07,3.0,Female,No,Sat,Dinner,3,1072
72,26.86,3.14,Female,Yes,Sat,Dinner,2,1073
73,25.28,5.0,Female,Yes,Sat,Dinner,2,1074
74,14.73,2.2,Female,No,Sat,Dinner,2,1075
75,10.51,1.25,Male,No,Sat,Dinner,2,1076
76,17.92,3.08,Male,Yes,Sat,Dinner,2,1077
77,27.2,4.0,Male,No,Thur,Lunch,4,1078
78,22.76,3.0,Male,No,Thur,Lunch,2,1079
79,17.29,2.71,Male,No,Thur,Lunch,2,1080
80,19.44,3.0,Male,Yes,Thur,Lunch,2,1081
81,16.66,3.4,Male,No,Thur,Lunch,2,1082
82,10.07,1.83,Female,No,Thur,Lunch,1,1083
83,32.68,5.0,Male,Yes,Thur,Lunch,2,1084
84,15.98,2.03,Male,No,Thur,Lunch,2,1085
85,34.83,5.17,Female,No,Thur,Lunch,4,1086
86,13.03,2.0,Male,No,Thur,Lunch,2,1087
87,18.28,4.0,Male,No,Thur,Lunch,2,1088
88,24.71,5.85,Male,No,Thur,Lunch,2,1089
89,21.16,3.0,Male,No,Thur,Lunch,2,1090
90,28.97,3.0,Male,Yes,Fri,Dinner,2,1091
91,22.49,3.5,Male,No,Fri,Dinner,2,1092
92,5.75,1.0,Female,Yes,Fri,Dinner,2,1093
93,16.32,4.3,Female,Yes,Fri,Dinner,2,1094
94,22.75,3.25,Female,No,Fri,Dinner,2,1095
95,40.17,4.73,Male,Yes,Fri,Dinner,4,1096
96,27.28,4.0,Male,Yes,Fri,Dinner,2,1097
97,12.03,1.5,Male,Yes,Fri,Dinner,2,1098
98,21.01,3.0,Male,Yes,Fri,Dinner,2,1099
99,12.46,1.5,Male,No,Fri,Dinner,2,1100
100,11.35,2.5,Female,Yes,Fri,Dinner,2,1101
101,15.38,3.0,Female,Yes,Fri,Dinner,2,1102
102,44.3,2.5,Female,Yes,Sat,Dinner,3,1103
103,22.42,3.48,Female,Yes,Sat,Dinner,2,1104
104,20.92,4.08,Female,No,Sat,Dinner,2,1105
105,15.36,1.64,Male,Yes,Sat,Dinner,2,1106
106,20.49,4.06,Male,Yes,Sat,Dinner,2,1107
107,25.21,4.29,Male,Yes,Sat,Dinner,2,1108
108,18.24,3.76,Male,No,Sat,Dinner,2,1109
